"id","Source","Target","distance"
"2","AER","KZN","2B"
"3","ASF","KZN","2B"
"4","ASF","MRV","2B"
"5","CEK","KZN","2B"
"6","CEK","OVB","2B"
"7","DME","KZN","2B"
"8","DME","NBC","2B"
"9","DME","TGK","2B"
"10","DME","UUA","2B"
"11","EGO","KGD","2B"
"12","EGO","KZN","2B"
"13","GYD","NBC","2B"
"14","KGD","EGO","2B"
"15","KZN","AER","2B"
"16","KZN","ASF","2B"
"17","KZN","CEK","2B"
"18","KZN","DME","2B"
"19","KZN","EGO","2B"
"20","KZN","LED","2B"
"21","KZN","SVX","2B"
"22","LED","KZN","2B"
"23","LED","NBC","2B"
"24","LED","UUA","2B"
"25","MRV","ASF","2B"
"26","NBC","DME","2B"
"27","NBC","GYD","2B"
"28","NBC","LED","2B"
"29","NBC","SVX","2B"
"30","NJC","SVX","2B"
"31","NJC","UUA","2B"
"32","NUX","SVX","2B"
"33","OVB","CEK","2B"
"34","OVB","SVX","2B"
"35","SVX","KZN","2B"
"36","SVX","NBC","2B"
"37","SVX","NJC","2B"
"38","SVX","NUX","2B"
"39","SVX","OVB","2B"
"40","TGK","DME","2B"
"41","UUA","DME","2B"
"42","UUA","LED","2B"
"43","UUA","NJC","2B"
"44","BTK","IKT","2G"
"45","BTK","OVB","2G"
"46","CEK","OVB","2G"
"47","HTA","IKT","2G"
"48","IKT","BTK","2G"
"49","IKT","HTA","2G"
"50","IKT","KCK","2G"
"51","IKT","ODO","2G"
"52","IKT","OVB","2G"
"53","IKT","UKX","2G"
"54","IKT","ULK","2G"
"55","IKT","YKS","2G"
"56","KCK","IKT","2G"
"57","MJZ","OVB","2G"
"58","ODO","IKT","2G"
"59","OVB","BTK","2G"
"60","OVB","CEK","2G"
"61","OVB","IKT","2G"
"62","UKX","IKT","2G"
"63","ULK","IKT","2G"
"64","YKS","IKT","2G"
"65","AYP","LIM","2I"
"66","CUZ","LIM","2I"
"67","CUZ","PEM","2I"
"68","HUU","LIM","2I"
"69","IQT","PCL","2I"
"70","IQT","TPP","2I"
"71","LIM","AYP","2I"
"72","LIM","CUZ","2I"
"73","LIM","HUU","2I"
"74","LIM","PCL","2I"
"75","LIM","TPP","2I"
"76","PCL","IQT","2I"
"77","PCL","LIM","2I"
"78","PCL","TPP","2I"
"79","PEM","CUZ","2I"
"80","TPP","IQT","2I"
"81","TPP","LIM","2I"
"82","TPP","PCL","2I"
"83","ABJ","BOY","2J"
"84","ABJ","OUA","2J"
"85","ACC","OUA","2J"
"86","BKO","ABJ","2J"
"87","BKO","DKR","2J"
"88","BKO","OUA","2J"
"89","BOY","ABJ","2J"
"90","BOY","OUA","2J"
"91","COO","LFW","2J"
"92","COO","OUA","2J"
"93","DKR","BKO","2J"
"94","DKR","OUA","2J"
"95","LFW","OUA","2J"
"96","NIM","OUA","2J"
"97","OUA","ABJ","2J"
"98","OUA","ACC","2J"
"99","OUA","BKO","2J"
"100","OUA","BOY","2J"
"101","OUA","COO","2J"
"102","OUA","DKR","2J"
"103","OUA","LFW","2J"
"104","OUA","NIM","2J"
"105","BOG","GYE","2K"
"106","BOG","UIO","2K"
"107","CLO","GYE","2K"
"108","GYE","BOG","2K"
"109","GYE","CLO","2K"
"110","GYE","SCY","2K"
"111","GYE","UIO","2K"
"112","OCC","UIO","2K"
"113","SCY","GYE","2K"
"114","UIO","BOG","2K"
"115","UIO","GYE","2K"
"116","UIO","OCC","2K"
"117","BDS","ZRH","2L"
"118","BOD","ZRH","2L"
"119","BRS","ZRH","2L"
"120","GVA","LPA","2L"
"121","LCA","ZRH","2L"
"122","LPA","ZRH","2L"
"123","RMF","ZRH","2L"
"124","TFS","GVA","2L"
"125","ZRH","BDS","2L"
"126","ZRH","BOD","2L"
"127","ZRH","BRS","2L"
"128","ZRH","LCA","2L"
"129","ZRH","LPA","2L"
"130","ZRH","RMF","2L"
"131","AJR","LYC","2N"
"132","ARN","GEV","2N"
"133","ARN","HAD","2N"
"134","ARN","JKG","2N"
"135","ARN","KRF","2N"
"136","ARN","KSD","2N"
"137","ARN","LYC","2N"
"138","ARN","MHQ","2N"
"139","ARN","OER","2N"
"140","ARN","POR","2N"
"141","ARN","TRF","2N"
"142","ARN","VBY","2N"
"143","ARN","VHM","2N"
"144","ARN","VXO","2N"
"145","GEV","ARN","2N"
"146","GEV","KRF","2N"
"147","HAD","ARN","2N"
"148","HAD","JKG","2N"
"149","HAD","VXO","2N"
"150","HMV","VHM","2N"
"151","JKG","ARN","2N"
"152","JKG","HAD","2N"
"153","KOK","POR","2N"
"154","KRF","ARN","2N"
"155","KRF","GEV","2N"
"156","KSD","ARN","2N"
"157","LYC","AJR","2N"
"158","LYC","ARN","2N"
"159","MHQ","ARN","2N"
"160","MHQ","TKU","2N"
"161","OER","ARN","2N"
"162","OSL","VXO","2N"
"163","POR","ARN","2N"
"164","POR","KOK","2N"
"165","TKU","MHQ","2N"
"166","TRF","ARN","2N"
"167","VBY","ARN","2N"
"168","VHM","ARN","2N"
"169","VHM","HMV","2N"
"170","VXO","ARN","2N"
"171","VXO","OSL","2N"
"172","ADQ","AOS","2O"
"173","ADQ","KKB","2O"
"174","ADQ","KLN","2O"
"175","ADQ","KOZ","2O"
"176","ADQ","OLH","2O"
"177","AOS","KZB","2O"
"178","KKB","SYB","2O"
"179","KLN","KYK","2O"
"180","KOZ","ORI","2O"
"181","SYB","KPR","2O"
"182","BSO","MNL","2P"
"183","BXU","MNL","2P"
"184","CBO","MNL","2P"
"185","CGY","MNL","2P"
"186","CRM","MNL","2P"
"187","DGT","MNL","2P"
"188","DWC","MNL","2P"
"189","GES","MNL","2P"
"190","KLO","MNL","2P"
"191","KLO","MNL","2P"
"192","LGP","MNL","2P"
"193","MNL","BSO","2P"
"194","MNL","BXU","2P"
"195","MNL","CBO","2P"
"196","MNL","CGY","2P"
"197","MNL","CRM","2P"
"198","MNL","DGT","2P"
"199","MNL","DWC","2P"
"200","MNL","GES","2P"
"201","MNL","KLO","2P"
"202","MNL","KLO","2P"
"203","MNL","LGP","2P"
"204","MNL","MPH","2P"
"205","MNL","OZC","2P"
"206","MNL","PPS","2P"
"207","MNL","RXS","2P"
"208","MNL","SUG","2P"
"209","MNL","TUG","2P"
"210","MNL","ZAM","2P"
"211","MPH","MNL","2P"
"212","OZC","MNL","2P"
"213","PPS","MNL","2P"
"214","RXS","MNL","2P"
"215","SUG","MNL","2P"
"216","TUG","MNL","2P"
"217","ZAM","MNL","2P"
"218","AUX","PMW","2Z"
"219","BRA","BSB","2Z"
"220","BRA","SSA","2Z"
"221","BSB","BRA","2Z"
"222","BSB","OPS","2Z"
"223","BSB","RAO","2Z"
"224","CAC","GRU","2Z"
"225","CGB","GYN","2Z"
"226","CGB","OPS","2Z"
"227","CGR","DOU","2Z"
"228","DOU","CGR","2Z"
"229","DOU","GRU","2Z"
"230","GIG","RAO","2Z"
"231","GRU","CAC","2Z"
"232","GRU","DOU","2Z"
"233","GRU","RAO","2Z"
"234","GRU","UBA","2Z"
"235","GRU","UDI","2Z"
"236","GRU","VDC","2Z"
"237","GYN","CGB","2Z"
"238","GYN","PMW","2Z"
"239","GYN","RAO","2Z"
"240","GYN","UDI","2Z"
"241","OPS","BSB","2Z"
"242","OPS","CGB","2Z"
"243","PLU","RAO","2Z"
"244","PMW","AUX","2Z"
"245","PMW","GYN","2Z"
"246","RAO","BSB","2Z"
"247","RAO","GIG","2Z"
"248","RAO","GRU","2Z"
"249","RAO","GYN","2Z"
"250","RAO","PLU","2Z"
"251","RAO","SJP","2Z"
"252","RAO","UDI","2Z"
"253","SJP","RAO","2Z"
"254","SSA","BRA","2Z"
"255","SSA","VDC","2Z"
"256","UBA","GRU","2Z"
"257","UBA","UDI","2Z"
"258","UDI","GRU","2Z"
"259","UDI","GYN","2Z"
"260","UDI","RAO","2Z"
"261","UDI","UBA","2Z"
"262","VDC","GRU","2Z"
"263","VDC","SSA","2Z"
"264","BRL","ORD","3E"
"265","BRL","STL","3E"
"266","DEC","ORD","3E"
"267","DEC","STL","3E"
"268","JBR","STL","3E"
"269","ORD","BRL","3E"
"270","ORD","DEC","3E"
"271","STL","BRL","3E"
"272","STL","DEC","3E"
"273","STL","JBR","3E"
"274","CGA","HYL","3F"
"275","CGA","KTN","3F"
"276","HYL","CGA","3F"
"277","HYL","KTB","3F"
"278","HYL","KTN","3F"
"279","KTB","HYL","3F"
"280","KTB","KTN","3F"
"281","KTN","CGA","3F"
"282","KTN","HYL","3F"
"283","KTN","KTB","3F"
"284","KTN","MTM","3F"
"285","MTM","KTN","3F"
"286","ACC","DKR","3G"
"287","ACC","LOS","3G"
"288","ACC","ROB","3G"
"289","BCN","BJL","3G"
"290","BJL","BCN","3G"
"291","BJL","DKR","3G"
"292","BJL","FNA","3G"
"293","CKY","OXB","3G"
"294","DKR","ACC","3G"
"295","DKR","BJL","3G"
"296","DKR","DLA","3G"
"297","DKR","FNA","3G"
"298","DKR","LOS","3G"
"299","DKR","OXB","3G"
"300","DLA","DKR","3G"
"301","DLA","LOS","3G"
"302","FNA","BJL","3G"
"303","FNA","DKR","3G"
"304","FNA","LGW","3G"
"305","FNA","ROB","3G"
"306","LGW","FNA","3G"
"307","LOS","ACC","3G"
"308","LOS","DKR","3G"
"309","LOS","DLA","3G"
"310","LOS","ROB","3G"
"311","OXB","CKY","3G"
"312","OXB","DKR","3G"
"313","ROB","ACC","3G"
"314","ROB","FNA","3G"
"315","ROB","LOS","3G"
"316","AKV","YIK","3H"
"317","AKV","YPX","3H"
"318","XGR","YVP","3H"
"319","YGL","YGW","3H"
"320","YGL","YPX","3H"
"321","YGL","YUL","3H"
"322","YGW","YGL","3H"
"323","YGW","YPH","3H"
"324","YGW","YSK","3H"
"325","YGW","YUD","3H"
"326","YGW","YUL","3H"
"327","YGW","YUY","3H"
"328","YIK","AKV","3H"
"329","YIK","YZG","3H"
"330","YKG","YPJ","3H"
"331","YKG","YQC","3H"
"332","YKG","YVP","3H"
"333","YKL","YQB","3H"
"334","YKL","YVP","3H"
"335","YKL","YWK","3H"
"336","YKL","YZV","3H"
"337","YPH","YPX","3H"
"338","YPH","YUD","3H"
"339","YPH","YVP","3H"
"340","YPJ","YKG","3H"
"341","YPJ","YTQ","3H"
"342","YPJ","YVP","3H"
"343","YPX","AKV","3H"
"344","YPX","YGL","3H"
"345","YPX","YPH","3H"
"346","YPX","YVP","3H"
"347","YQB","YKL","3H"
"348","YQB","YUL","3H"
"349","YQC","YKG","3H"
"350","YQC","YWB","3H"
"351","YSK","YGW","3H"
"352","YSK","YUD","3H"
"353","YTQ","YPJ","3H"
"354","YTQ","YVP","3H"
"355","YUD","YGW","3H"
"356","YUD","YPH","3H"
"357","YUD","YSK","3H"
"358","YUL","YGL","3H"
"359","YUL","YGW","3H"
"360","YUL","YQB","3H"
"361","YUL","YUY","3H"
"362","YUY","YGW","3H"
"363","YUY","YUL","3H"
"364","YVP","XGR","3H"
"365","YVP","YGW","3H"
"366","YVP","YKG","3H"
"367","YVP","YKL","3H"
"368","YVP","YPH","3H"
"369","YVP","YPJ","3H"
"370","YVP","YPX","3H"
"371","YVP","YTQ","3H"
"372","YWB","YQC","3H"
"373","YWB","YZG","3H"
"374","YWK","YKL","3H"
"375","YWK","YZV","3H"
"376","YZG","YIK","3H"
"377","YZG","YWB","3H"
"378","YZV","YKL","3H"
"379","YZV","YWK","3H"
"380","JIB","DXB","3J"
"381","JIB","JED","3J"
"382","JIB","MGQ","3J"
"383","MGQ","NBO","3J"
"384","NBO","MGQ","3J"
"385","BKK","SIN","3K"
"386","DRW","SIN","3K"
"387","HAK","SIN","3K"
"388","HGH","SIN","3K"
"389","HKG","SIN","3K"
"390","HKT","SIN","3K"
"391","KIX","MNL","3K"
"392","KIX","TPE","3K"
"393","KUL","SIN","3K"
"394","MNL","KIX","3K"
"395","MNL","SIN","3K"
"396","PEN","SIN","3K"
"397","PER","SIN","3K"
"398","PNH","SIN","3K"
"399","REP","SIN","3K"
"400","RGN","SIN","3K"
"401","SGN","SIN","3K"
"402","SIN","BKK","3K"
"403","SIN","DRW","3K"
"404","SIN","HAK","3K"
"405","SIN","HGH","3K"
"406","SIN","HKG","3K"
"407","SIN","HKT","3K"
"408","SIN","KUL","3K"
"409","SIN","MNL","3K"
"410","SIN","PEN","3K"
"411","SIN","PER","3K"
"412","SIN","PNH","3K"
"413","SIN","REP","3K"
"414","SIN","RGN","3K"
"415","SIN","SGN","3K"
"416","SIN","SWA","3K"
"417","SIN","TPE","3K"
"418","SWA","SIN","3K"
"419","TPE","KIX","3K"
"420","TPE","SIN","3K"
"421","ACH","EBA","3L"
"422","DRS","ZRH","3L"
"423","DUS","FDH","3L"
"424","EBA","ACH","3L"
"425","EBA","FDH","3L"
"426","EBA","MUC","3L"
"427","EBA","ZRH","3L"
"428","FDH","DUS","3L"
"429","FDH","EBA","3L"
"430","FDH","HAM","3L"
"431","FDH","OLB","3L"
"432","FDH","TXL","3L"
"433","FDH","ZAD","3L"
"434","FMM","NAP","3L"
"435","GRZ","ZRH","3L"
"436","HAM","FDH","3L"
"437","MUC","EBA","3L"
"438","NAP","FMM","3L"
"439","OLB","FDH","3L"
"440","SZG","ZRH","3L"
"441","TXL","FDH","3L"
"442","ZAD","FDH","3L"
"443","ZRH","DRS","3L"
"444","ZRH","EBA","3L"
"445","ZRH","GRZ","3L"
"446","ZRH","SZG","3L"
"447","ATL","LWB","3M"
"448","ATL","MCN","3M"
"449","ATL","MEI","3M"
"450","ATL","MSL","3M"
"451","ATL","PIB","3M"
"452","ATL","TUP","3M"
"453","BIM","FLL","3M"
"454","ELH","FLL","3M"
"455","ELH","PBI","3M"
"456","EYW","FLL","3M"
"457","EYW","RSW","3M"
"458","EYW","TPA","3M"
"459","FLL","BIM","3M"
"460","FLL","ELH","3M"
"461","FLL","EYW","3M"
"462","FLL","FPO","3M"
"463","FLL","GGT","3M"
"464","FLL","GHB","3M"
"465","FLL","MCO","3M"
"466","FLL","MHH","3M"
"467","FLL","TCB","3M"
"468","FLL","TPA","3M"
"469","FPO","FLL","3M"
"470","GGT","FLL","3M"
"471","GGT","GHB","3M"
"472","GHB","FLL","3M"
"473","GLH","TUP","3M"
"474","GNV","MCO","3M"
"475","GNV","TPA","3M"
"476","JAX","MHH","3M"
"477","JAX","TPA","3M"
"478","LWB","ATL","3M"
"479","MCN","ATL","3M"
"480","MCN","MCO","3M"
"481","MCO","FLL","3M"
"482","MCO","GNV","3M"
"483","MCO","MCN","3M"
"484","MCO","MHH","3M"
"485","MCO","PNS","3M"
"486","MCO","RSW","3M"
"487","MCO","TLH","3M"
"488","MEI","ATL","3M"
"489","MHH","FLL","3M"
"490","MHH","JAX","3M"
"491","MHH","MCO","3M"
"492","MHH","PBI","3M"
"493","MSL","ATL","3M"
"494","PBI","ELH","3M"
"495","PBI","MHH","3M"
"496","PBI","TPA","3M"
"497","PIB","ATL","3M"
"498","PNS","MCO","3M"
"499","PNS","TPA","3M"
"500","RSW","EYW","3M"
"501","RSW","MCO","3M"
"502","TCB","FLL","3M"
"503","TLH","MCO","3M"
"504","TLH","TPA","3M"
"505","TPA","EYW","3M"
"506","TPA","FLL","3M"
"507","TPA","GNV","3M"
"508","TPA","JAX","3M"
"509","TPA","PBI","3M"
"510","TPA","PNS","3M"
"511","TPA","TLH","3M"
"512","TUP","ATL","3M"
"513","TUP","GLH","3M"
"514","AMS","NDR","3O"
"515","AMS","TNG","3O"
"516","BCN","CMN","3O"
"517","BCN","NDR","3O"
"518","BCN","TNG","3O"
"519","BGY","CMN","3O"
"520","BLQ","CMN","3O"
"521","BRU","CMN","3O"
"522","BRU","NDR","3O"
"523","BRU","TNG","3O"
"524","CGN","NDR","3O"
"525","CMN","BCN","3O"
"526","CMN","BGY","3O"
"527","CMN","BLQ","3O"
"528","CMN","BRU","3O"
"529","CMN","CUF","3O"
"530","CMN","LGW","3O"
"531","CMN","LYS","3O"
"532","CMN","MPL","3O"
"533","CMN","SAW","3O"
"534","CMN","TLS","3O"
"535","CMN","TSF","3O"
"536","CUF","CMN","3O"
"537","FEZ","MPL","3O"
"538","LGW","CMN","3O"
"539","LGW","TNG","3O"
"540","LYS","CMN","3O"
"541","MPL","CMN","3O"
"542","MPL","FEZ","3O"
"543","MPL","NDR","3O"
"544","NDR","AMS","3O"
"545","NDR","BCN","3O"
"546","NDR","BRU","3O"
"547","NDR","CGN","3O"
"548","NDR","MPL","3O"
"549","NDR","PMI","3O"
"550","PMI","NDR","3O"
"551","SAW","CMN","3O"
"552","TLS","CMN","3O"
"553","TNG","AMS","3O"
"554","TNG","BCN","3O"
"555","TNG","BRU","3O"
"556","TNG","LGW","3O"
"557","TSF","CMN","3O"
"558","AUA","LSP","3P"
"559","AUA","MAR","3P"
"560","BON","CUR","3P"
"561","CUR","AUA","3P"
"562","LSP","AUA","3P"
"563","MAR","AUA","3P"
"564","ASF","DME","3R"
"565","ASF","LED","3R"
"566","BHK","DME","3R"
"567","DME","ASF","3R"
"568","DME","BHK","3R"
"569","DME","EGO","3R"
"570","DME","FEG","3R"
"571","DME","KSQ","3R"
"572","DME","NMA","3R"
"573","DME","NVI","3R"
"574","DME","SKD","3R"
"575","DME","TIV","3R"
"576","EGO","DME","3R"
"577","FEG","DME","3R"
"578","KSQ","DME","3R"
"579","LED","ASF","3R"
"580","NMA","DME","3R"
"581","NVI","DME","3R"
"582","SKD","DME","3R"
"583","TIV","DME","3R"
"584","ANU","PTP","3S"
"585","CAY","FDF","3S"
"586","CUR","SDQ","3S"
"587","DOM","PTP","3S"
"588","DOM","SXM","3S"
"589","FDF","CAY","3S"
"590","FDF","PTP","3S"
"591","FDF","SDQ","3S"
"592","FDF","SLU","3S"
"593","PTP","ANU","3S"
"594","PTP","DOM","3S"
"595","PTP","FDF","3S"
"596","PTP","SBH","3S"
"597","PTP","SDQ","3S"
"598","PTP","SFG","3S"
"599","PTP","SXM","3S"
"600","SBH","PTP","3S"
"601","SDQ","PTP","3S"
"602","SDQ","SXM","3S"
"603","SFG","PTP","3S"
"604","SLU","FDF","3S"
"605","SXM","DOM","3S"
"606","SXM","PTP","3S"
"607","SXM","SDQ","3S"
"608","BHY","XIY","3U"
"609","CAN","CKG","3U"
"610","CAN","CTU","3U"
"611","CAN","SPN","3U"
"612","CGO","CGQ","3U"
"613","CGO","CKG","3U"
"614","CGO","CTU","3U"
"615","CGO","HGH","3U"
"616","CGO","HRB","3U"
"617","CGO","KMG","3U"
"618","CGO","URC","3U"
"619","CGQ","CGO","3U"
"620","CGQ","NKG","3U"
"621","CGQ","TNA","3U"
"622","CGQ","TSN","3U"
"623","CKG","CAN","3U"
"624","CKG","CGO","3U"
"625","CKG","CSX","3U"
"626","CKG","CTU","3U"
"627","CKG","CZX","3U"
"628","CKG","DLC","3U"
"629","CKG","DYG","3U"
"630","CKG","HAK","3U"
"631","CKG","HGH","3U"
"632","CKG","HKT","3U"
"633","CKG","INC","3U"
"634","CKG","KHN","3U"
"635","CKG","KMG","3U"
"636","CKG","LHW","3U"
"637","CKG","LJG","3U"
"638","CKG","LXA","3U"
"639","CKG","NGB","3U"
"640","CKG","NKG","3U"
"641","CKG","NNG","3U"
"642","CKG","PEK","3U"
"643","CKG","PVG","3U"
"644","CKG","PZI","3U"
"645","CKG","SWA","3U"
"646","CKG","SYD","3U"
"647","CKG","SYX","3U"
"648","CKG","SZX","3U"
"649","CKG","TNA","3U"
"650","CKG","TSA","3U"
"651","CKG","TSN","3U"
"652","CKG","TYN","3U"
"653","CKG","URC","3U"
"654","CKG","WUH","3U"
"655","CKG","WUX","3U"
"656","CKG","XIY","3U"
"657","CKG","XNN","3U"
"658","CKG","YIH","3U"
"659","CKG","ZHA","3U"
"660","CSX","CKG","3U"
"661","CSX","CTU","3U"
"662","CSX","FOC","3U"
"663","CSX","KMG","3U"
"664","CSX","SHE","3U"
"665","CSX","WNZ","3U"
"666","CSX","XMN","3U"
"667","CTU","CAN","3U"
"668","CTU","CGO","3U"
"669","CTU","CKG","3U"
"670","CTU","CSX","3U"
"671","CTU","DCY","3U"
"672","CTU","DSN","3U"
"673","CTU","HAK","3U"
"674","CTU","HDG","3U"
"675","CTU","HET","3U"
"676","CTU","HFE","3U"
"677","CTU","HGH","3U"
"678","CTU","HKG","3U"
"679","CTU","HKT","3U"
"680","CTU","ICN","3U"
"681","CTU","INC","3U"
"682","CTU","JHG","3U"
"683","CTU","JIQ","3U"
"684","CTU","JZH","3U"
"685","CTU","KHN","3U"
"686","CTU","KMG","3U"
"687","CTU","KOW","3U"
"688","CTU","KWE","3U"
"689","CTU","LHW","3U"
"690","CTU","LJG","3U"
"691","CTU","LUM","3U"
"692","CTU","LXA","3U"
"693","CTU","LZY","3U"
"694","CTU","MEL","3U"
"695","CTU","NKG","3U"
"696","CTU","NNG","3U"
"697","CTU","PEK","3U"
"698","CTU","PVG","3U"
"699","CTU","PZI","3U"
"700","CTU","SHE","3U"
"701","CTU","SJW","3U"
"702","CTU","SYX","3U"
"703","CTU","SZX","3U"
"704","CTU","TAO","3U"
"705","CTU","TNA","3U"
"706","CTU","TSA","3U"
"707","CTU","TSN","3U"
"708","CTU","TYN","3U"
"709","CTU","URC","3U"
"710","CTU","WNZ","3U"
"711","CTU","WUH","3U"
"712","CTU","WUX","3U"
"713","CTU","WXN","3U"
"714","CTU","XIC","3U"
"715","CTU","XIY","3U"
"716","CTU","XMN","3U"
"717","CTU","XNN","3U"
"718","CTU","XUZ","3U"
"719","CTU","YIH","3U"
"720","CTU","YTY","3U"
"721","CZX","CKG","3U"
"722","CZX","HRB","3U"
"723","CZX","XMN","3U"
"724","CZX","ZUH","3U"
"725","DAT","TYN","3U"
"726","DCY","CTU","3U"
"727","DLC","CKG","3U"
"728","DLC","HGH","3U"
"729","DLC","HRB","3U"
"730","DLC","TNA","3U"
"731","DLC","XUZ","3U"
"732","DNH","LHW","3U"
"733","DSN","CTU","3U"
"734","DSN","SHE","3U"
"735","DYG","CKG","3U"
"736","DYG","NKG","3U"
"737","FOC","CSX","3U"
"738","FOC","XIY","3U"
"739","GXH","LXA","3U"
"740","GXH","XIY","3U"
"741","HAK","CKG","3U"
"742","HAK","CTU","3U"
"743","HAK","HGH","3U"
"744","HAK","NGB","3U"
"745","HAK","ZUH","3U"
"746","HDG","CTU","3U"
"747","HET","CTU","3U"
"748","HFE","CTU","3U"
"749","HGH","CGO","3U"
"750","HGH","CKG","3U"
"751","HGH","CTU","3U"
"752","HGH","DLC","3U"
"753","HGH","HAK","3U"
"754","HGH","KWE","3U"
"755","HGH","TSN","3U"
"756","HGH","TYN","3U"
"757","HKG","CTU","3U"
"758","HKG","YIH","3U"
"759","HKG","ZHA","3U"
"760","HKT","CKG","3U"
"761","HKT","CTU","3U"
"762","HRB","CGO","3U"
"763","HRB","CZX","3U"
"764","HRB","DLC","3U"
"765","HRB","INC","3U"
"766","HRB","NGB","3U"
"767","HRB","NKG","3U"
"768","HRB","NZH","3U"
"769","HRB","SJW","3U"
"770","HRB","TNA","3U"
"771","HRB","TSN","3U"
"772","HRB","WNZ","3U"
"773","HRB","WUH","3U"
"774","HRB","XIY","3U"
"775","HRB","XUZ","3U"
"776","ICN","CTU","3U"
"777","INC","CKG","3U"
"778","INC","CTU","3U"
"779","INC","HRB","3U"
"780","INC","KWL","3U"
"781","JGN","LHW","3U"
"782","JHG","CTU","3U"
"783","JHG","KMG","3U"
"784","JIQ","CTU","3U"
"785","JJN","KWE","3U"
"786","JJN","WUH","3U"
"787","JZH","CTU","3U"
"788","KHG","URC","3U"
"789","KHN","CKG","3U"
"790","KHN","CTU","3U"
"791","KHN","KMG","3U"
"792","KHN","NGB","3U"
"793","KMG","CGO","3U"
"794","KMG","CKG","3U"
"795","KMG","CSX","3U"
"796","KMG","CTU","3U"
"797","KMG","JHG","3U"
"798","KMG","KHN","3U"
"799","KMG","KWE","3U"
"800","KMG","LUM","3U"
"801","KMG","NGB","3U"
"802","KMG","NKG","3U"
"803","KMG","TAO","3U"
"804","KMG","TNA","3U"
"805","KMG","TPE","3U"
"806","KMG","WXN","3U"
"807","KMG","XIY","3U"
"808","KMG","XMN","3U"
"809","KMG","XUZ","3U"
"810","KOW","CTU","3U"
"811","KOW","XMN","3U"
"812","KWE","CTU","3U"
"813","KWE","HGH","3U"
"814","KWE","JJN","3U"
"815","KWE","KMG","3U"
"816","KWE","LHW","3U"
"817","KWE","SYX","3U"
"818","KWE","WNZ","3U"
"819","KWE","XUZ","3U"
"820","KWL","INC","3U"
"821","KWL","SJW","3U"
"822","KWL","SYX","3U"
"823","LHW","CKG","3U"
"824","LHW","CTU","3U"
"825","LHW","DNH","3U"
"826","LHW","JGN","3U"
"827","LHW","KWE","3U"
"828","LHW","TSN","3U"
"829","LJG","CKG","3U"
"830","LJG","CTU","3U"
"831","LJG","MIG","3U"
"832","LUM","CTU","3U"
"833","LUM","KMG","3U"
"834","LXA","CKG","3U"
"835","LXA","CTU","3U"
"836","LXA","GXH","3U"
"837","LXA","XIY","3U"
"838","LXA","XNN","3U"
"839","LYI","XIY","3U"
"840","LZY","CTU","3U"
"841","MEL","CTU","3U"
"842","MIG","LJG","3U"
"843","MIG","NKG","3U"
"844","MIG","SYX","3U"
"845","MIG","XNN","3U"
"846","NGB","CKG","3U"
"847","NGB","HAK","3U"
"848","NGB","HRB","3U"
"849","NGB","KHN","3U"
"850","NGB","KMG","3U"
"851","NGB","SHE","3U"
"852","NGB","SYX","3U"
"853","NKG","CGQ","3U"
"854","NKG","CKG","3U"
"855","NKG","CTU","3U"
"856","NKG","DYG","3U"
"857","NKG","HRB","3U"
"858","NKG","KMG","3U"
"859","NKG","MIG","3U"
"860","NKG","SYX","3U"
"861","NNG","CKG","3U"
"862","NNG","CTU","3U"
"863","NNG","SGN","3U"
"864","NNG","WUH","3U"
"865","NTG","WUH","3U"
"866","NZH","HRB","3U"
"867","PEK","CKG","3U"
"868","PEK","CTU","3U"
"869","PEK","WXN","3U"
"870","PEK","ZHY","3U"
"871","PVG","CKG","3U"
"872","PVG","CTU","3U"
"873","PVG","SPN","3U"
"874","PZI","CKG","3U"
"875","PZI","CTU","3U"
"876","SGN","NNG","3U"
"877","SHE","CSX","3U"
"878","SHE","CTU","3U"
"879","SHE","DSN","3U"
"880","SHE","NGB","3U"
"881","SHE","TYN","3U"
"882","SHE","XUZ","3U"
"883","SHE","YVR","3U"
"884","SJW","CTU","3U"
"885","SJW","HRB","3U"
"886","SJW","KWL","3U"
"887","SPN","CAN","3U"
"888","SPN","PVG","3U"
"889","SWA","CKG","3U"
"890","SYD","CKG","3U"
"891","SYX","CKG","3U"
"892","SYX","CTU","3U"
"893","SYX","KWE","3U"
"894","SYX","KWL","3U"
"895","SYX","MIG","3U"
"896","SYX","NGB","3U"
"897","SYX","NKG","3U"
"898","SYX","TNA","3U"
"899","SYX","WNZ","3U"
"900","SYX","YBP","3U"
"901","SZX","CKG","3U"
"902","SZX","CTU","3U"
"903","SZX","WXN","3U"
"904","TAO","CTU","3U"
"905","TAO","KMG","3U"
"906","TNA","CGQ","3U"
"907","TNA","CKG","3U"
"908","TNA","CTU","3U"
"909","TNA","DLC","3U"
"910","TNA","HRB","3U"
"911","TNA","KMG","3U"
"912","TNA","SYX","3U"
"913","TNA","XIY","3U"
"914","TPE","KMG","3U"
"915","TSA","CKG","3U"
"916","TSA","CTU","3U"
"917","TSN","CGQ","3U"
"918","TSN","CKG","3U"
"919","TSN","CTU","3U"
"920","TSN","HGH","3U"
"921","TSN","HRB","3U"
"922","TSN","LHW","3U"
"923","TVS","TYN","3U"
"924","TYN","CKG","3U"
"925","TYN","CTU","3U"
"926","TYN","DAT","3U"
"927","TYN","HGH","3U"
"928","TYN","SHE","3U"
